Time,Pressure (hPa),Depth (Cm)
2024-05-30 15:48:15.16,1015.13,19.14
2024-05-30 15:48:15.48,1015.08,19.06
2024-05-30 15:48:15.79,1015.09,19.08
2024-05-30 15:48:16.10,1015.15,19.17
2024-05-30 15:48:16.42,1015.12,19.12
2024-05-30 15:48:16.73,1015.16,19.18
2024-05-30 15:48:17.05,1015.14,19.15
2024-05-30 15:48:17.37,1015.12,19.12
2024-05-30 15:48:17.70,1015.19,19.23
2024-05-30 15:48:18.05,1015.15,19.16
2024-05-30 15:48:18.40,1015.13,19.14
2024-05-30 15:48:18.74,1015.15,19.17
2024-05-30 15:48:19.06,1015.11,19.1
2024-05-30 15:48:19.37,1015.08,19.06
2024-05-30 15:48:19.70,1015.1,19.1
2024-05-30 15:48:20.00,1015.09,19.07
2024-05-30 15:48:20.34,1015.13,19.14
2024-05-30 15:48:20.67,1015.17,19.2
2024-05-30 15:48:21.01,1015.17,19.19
2024-05-30 15:48:21.34,1015.13,19.13
2024-05-30 15:48:21.67,1015.18,19.21
2024-05-30 15:48:22.01,1015.16,19.18
2024-05-30 15:48:22.36,1015.04,19.0
2024-05-30 15:48:22.71,1015.14,19.14
2024-05-30 15:48:23.05,1015.08,19.06
2024-05-30 15:48:23.43,1015.1,19.09
2024-05-30 15:48:23.77,1015.11,19.1
2024-05-30 15:48:24.17,1015.13,19.13
2024-05-30 15:48:24.81,1015.18,19.21
2024-05-30 15:48:25.25,1015.05,19.01
2024-05-30 15:48:25.65,1015.09,19.07
2024-05-30 15:48:26.02,1015.16,19.19
2024-05-30 15:52:11.13,1015.1,19.09
2024-05-30 15:52:11.43,1015.04,19.0
2024-05-30 15:52:11.75,1015.09,19.08
2024-05-30 15:52:12.07,1014.95,18.87
2024-05-30 15:52:12.38,1015.01,18.95
2024-05-30 15:52:12.68,1014.98,18.9
2024-05-30 15:52:12.96,1015.06,19.04
2024-05-30 15:52:13.26,1015.07,19.04
2024-05-30 15:52:13.57,1015.05,19.01
